Full Index,ON Full,ON Variations,Similarity
49003,"Connections to the structure of elements and components listed in Table 4.1.8.18. shall be designed to support the component or element for gravity loads, shall conform to the requirements of Sentence (1), and shall also satisfy these additional requirements: (a) friction due to gravity loads shall not be considered to provide resistance to seismic forces, (b) Rp for non-ductile connections, such as adhesives or power actuated fasteners, shall be taken as 1.0, (c) Rp for anchorage using shallow expansion, chemical, epoxy or cast-in place anchors shall be 1.5, where shallow anchors are those with a ratio of embedment length to diameter of less than 8, (d) power-actuated fasteners and drop-in anchors shall not be used for tension loads, (e) connections for non-structural elements or components of Category 1, 2 or 3 of Table 4.1.8.18. attached to the side of a building and above the first level above grade shall satisfy the following requirements: (i) for connections where the body of the connection is ductile, the body shall be designed for values of CP, Ar and Rp given in Table 4.1.8.18., and all of the other parts of the connection, such as anchors, welds, bolts and inserts, shall be capable of developing 2.0 times the nominal yield resistance of the body of the connection, and (ii) connections where the body of the connection is not ductile shall be designed for values of Cp = 2.0, Rp = 1.0 and Ar given in Table 4.1.8.18., and (f) a ductile connection is one where the body of the connection is capable of dissipating energy through cyclic inelastic behaviour.","Connections to the structure of elements and components listed in Table 4.1.8.18. shall be designed to support the component or element for gravity loads, shall conform to the requirements of Sentence (1), and shall also satisfy these additional requirements: (a) friction due to gravity loads shall not be considered to provide resistance to seismic forces, (b) Rp for non-ductile connections, such as adhesives or power actuated fasteners, shall be taken as 1.0, (c) Rp for anchorage using shallow expansion, chemical, epoxy or cast-in place anchors shall be 1.5, where shallow anchors are those with a ratio of embedment length to diameter of less than 8, (d) power-actuated fasteners and drop-in anchors shall not be used for tension loads, (e) connections for non-structural elements or components of Category 1, 2 or 3 of Table 4.1.8.18. attached to the side of a building and above the first level above grade shall satisfy the following requirements: (i) for connections where the body of the connection is ductile, the body shall be designed for values of CP, Ar and Rp given in Table 4.1.8.18., and all of the other parts of the connection, such as anchors, welds, bolts and inserts, shall be capable of developing 2.0 times the nominal yield resistance of the body of the connection, and (ii) connections where the body of the connection is not ductile shall be designed for values of Cp = 2.0, Rp = 1.0 and Ar given in Table 4.1.8.18., and (f) a ductile connection is one where the body of the connection is capable of dissipating energy through cyclic inelastic behaviour.",1.0
51778,Bags protecting sprinkler heads shall be replaced before they have accumulated deposits that impair the timely operation of the sprinkler head.,Bags protecting sprinkler heads shall be replaced before they have accumulated deposits that impair the timely operation of the sprinkler head.,1.0
50842,"When underground storage tanks have no further use or have been out of service for two years or longer, such tanks, together with connected piping and dispensers, shall have all flammable liquids and combustible liquids removed from them, be purged of vapours, and except as permitted in Article 4.3.17.5., be removed from the ground.","When underground storage tanks have no further use or have been out of service for two years or longer, such tanks, together with connected piping and dispensers, shall have all flammable liquids and combustible liquids removed from them, be purged of vapours, and except as permitted in Article 4.3.17.5., be removed from the ground.",1.0
44856,The vent pipe from a water closet or any other fixture that has an integral siphonic flushing action may be connected to the vertical leg of its drainage pipe.,The vent pipe from a water closet or any other fixture that has an integral siphonic flushing action may be connected to the vertical leg of its drainage pipe.,1.0
44633,Openings for stairways and escalators used by passengers are permitted to penetrate the fire separations required in Sentences (2) to (6).,Openings for stairways and escalators used by passengers are permitted to penetrate the fire separations required in Sentences (2) to (6).,1.0
52216,No unauthorized person shall be permitted to enter a premises undergoing fumigation or thermal insecticidal fogging until the premises has been ventilated and is safe.,No unauthorized person shall be permitted to enter a premises undergoing fumigation or thermal insecticidal fogging until the premises has been ventilated and is safe.,1.0
52461,A pressure regulator shall be provided in the steam line with a relief valve on the downstream side of the regulator.,A pressure regulator shall be provided in the steam line with a relief valve on the downstream side of the regulator.,1.0
47924,"Except as provided in Sentence (3), a drain port shall be provided on the water distribution system immediately downstream of the building control valve required by Sentence (1) and if there is a meter, the drain port shall be installed immediately downstream of the meter on the water distribution system.","Except as provided in Sentence (3), a drain port shall be provided on the water distribution system immediately downstream of the building control valve required by Sentence (1) and if there is a meter, the drain port shall be installed immediately downstream of the meter on the water distribution system.",1.0
45981,"Rainwater that is free of solids and treated to conform to Article 7.7.4.1. is permitted to be used as a water supply for,(a) clothes washers, (b) laundry trays, (c) mop sinks, (d) bedpan washers, (e) water closets, (f) urinals, (g) hose bibbs, (h) sub-surface irrigation, or (i) the priming of traps.","Rainwater that is free of solids and treated to conform to Article 7.7.4.1. is permitted to be used as a water supply for,(a) clothes washers, (b) laundry trays, (c) mop sinks, (d) bedpan washers, (e) water closets, (f) urinals, (g) hose bibbs, (h) sub-surface irrigation, or (i) the priming of traps.",1.0
50616,"In-service atmospheric storage tanks that were installed on or before December 31, 2014 and that do not comply with Sentence (1) may remain in-service if they do not leak and if the tanks met the requirements of this Code on December 31, 2014, as it read on that day.","In-service atmospheric storage tanks that were installed on or before December 31, 2014 and that do not comply with Sentence (1) may remain in-service if they do not leak and if the tanks met the requirements of this Code on December 31, 2014, as it read on that day.",1.0
